key,comp_level,set_number,match_number,team_key,r1,r2,r3,b1,b2,b3,alliance,scout_Init,a_startPos,a_hit,a_Climb,a_sideClimb,a_scoringTime,a_scoringTime_segments,a_ferryTime,a_ferryTime_segments,a_planner,time_broken,t_scoringTime,t_scoringTime_segments,t_NZferryTime,t_NZferryTime_segments,t_OZferryTime,t_OZferryTime_segments,time_beached,end_Climb,end_sideClimb,t_Defense,a_Notes,active_Notes,inactive_Notes,end_Notes
2026orwil_qm1,qm,1,1,frc2635,frc2635,frc3673,frc3024,frc10444,frc2374,frc6831,red,,depotWall1,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],,,,
2026orwil_qm1,qm,1,1,frc3673,frc2635,frc3673,frc3024,frc10444,frc2374,frc6831,red,Hd,outpost4,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Other,0,13.756,"{""version"":1,""segments"":[{""start"":1773512094402,""stop"":1773512096310},{""start"":1773512096807,""stop"":1773512097348},{""start"":1773512098006,""stop"":1773512098477},{""start"":1773512150907,""stop"":1773512152434},{""start"":1773512153375,""stop"":1773512154214},{""start"":1773512155802,""stop"":1773512157219},{""start"":1773512185111,""stop"":1773512185439},{""start"":1773512189224,""stop"":1773512194209},{""start"":1773512203551,""stop"":1773512204342},{""start"":1773512215078,""stop"":1773512216027}]}",1.505,"{""version"":1,""segments"":[{""start"":1773512127255,""stop"":1773512127606},{""start"":1773512128214,""stop"":1773512128554},{""start"":1773512129463,""stop"":1773512129643},{""start"":1773512130183,""stop"":1773512130574},{""start"":1773512135233,""stop"":1773512135476}]}",0,"{""version"":1,""segments"":[]}",0,0,0,"[""NZ""]",no auto,"good intake, weak indexing and scoring, disjointed and inaccurate scoring","mainly ferried with intake, collected balls from neutral zone or played some defense",did not attempt to climb
2026orwil_qm1,qm,1,1,frc3024,frc2635,frc3673,frc3024,frc10444,frc2374,frc6831,red,Np,depotWall1,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Other,0,1.241,"{""version"":1,""segments"":[{""start"":1773512124898,""stop"":1773512126139}]}",11.002,"{""version"":1,""segments"":[{""start"":1773512087616,""stop"":1773512088094},{""start"":1773512088656,""stop"":1773512089044},{""start"":1773512096076,""stop"":1773512098318},{""start"":1773512147626,""stop"":1773512150431},{""start"":1773512150875,""stop"":1773512152314},{""start"":1773512153788,""stop"":1773512154038},{""start"":1773512191279,""stop"":1773512194679}]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],didn't do anything in auto,decent at ferrying but are kinda slow and their shots are slow and inaccurate,collection was decent ,didn't do anything
2026orwil_qm1,qm,1,1,frc10444,frc2635,frc3673,frc3024,frc10444,frc2374,frc6831,blue,AH,middle3,0,0,0,0.21,"{""version"":1,""segments"":[{""start"":1773512042357,""stop"":1773512042567}]}",0,"{""version"":1,""segments"":[]}",Other,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,"[""NZ""]",Stayed stationary in front of the blue hub without scoring any fuel.,Played defense in the neutral zone.,Played defense in the neutral zone. It appeared that their intake was struggling to intake fuel.,"Overall, it appeared that during the match they were playing defense in the neutral zone, while also struggling to intake fuel."
2026orwil_qm1,qm,1,1,frc2374,frc2635,frc3673,frc3024,frc10444,frc2374,frc6831,blue,AW,outpostWall5,0,0,0,7.689,"{""version"":1,""segments"":[{""start"":1773512056817,""stop"":1773512059100},{""start"":1773512060359,""stop"":1773512065765}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,32.209,"{""version"":1,""segments"":[{""start"":1773512109400,""stop"":1773512114574},{""start"":1773512122536,""stop"":1773512124256},{""start"":1773512124906,""stop"":1773512126429},{""start"":1773512131474,""stop"":1773512133230},{""start"":1773512133829,""stop"":1773512134322},{""start"":1773512159875,""stop"":1773512164346},{""start"":1773512169826,""stop"":1773512174725},{""start"":1773512179506,""stop"":1773512184653},{""start"":1773512192401,""stop"":1773512192654},{""start"":1773512196247,""stop"":1773512197254},{""start"":1773512206130,""stop"":1773512211452},{""start"":1773512212538,""stop"":1773512212982}]}",0,"{""version"":1,""segments"":[]}",5.817,"{""version"":1,""segments"":[{""start"":1773512144151,""stop"":1773512145008},{""start"":1773512151841,""stop"":1773512153420},{""start"":1773512155985,""stop"":1773512157061},{""start"":1773512326720,""stop"":1773512327330},{""start"":1773512332821,""stop"":1773512334516}]}",0,0,0,[],"- shot many balls + good accuracy
- human player gave robot fuel","- shot balls with good accuracy
- always had fuel when it was time to shoot",- collected balls using intake,- didnt climb but shot more balls
2026orwil_qm1,qm,1,1,frc6831,frc2635,frc3673,frc3024,frc10444,frc2374,frc6831,blue,EG,depot2,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Other,0,1.232,"{""version"":1,""segments"":[{""start"":1773512085651,""stop"":1773512085671},{""start"":1773512086361,""stop"":1773512086432},{""start"":1773512087320,""stop"":1773512087658},{""start"":1773512127933,""stop"":1773512128736}]}",0.777,"{""version"":1,""segments"":[{""start"":1773512099541,""stop"":1773512100318}]}",1.398,"{""version"":1,""segments"":[{""start"":1773512103560,""stop"":1773512104669},{""start"":1773512158827,""stop"":1773512159116}]}",0,0,0,[],inactive,"scored very few, moved back and forth in one spot a lot, shot slowly, had trouble going over the bump a few times",ferried over bump and under trench,wasn't inactive but also didn't do anything. 
2026orwil_qm10,qm,1,10,frc3024,frc3024,frc9438,frc5975,frc7034,frc2990,frc3636,red,pk,outpostWall5,0,0,0,7.985,"{""version"":1,""segments"":[{""start"":1773517268906,""stop"":1773517272199},{""start"":1773517305968,""stop"":1773517310660}]}",10.206,"{""version"":1,""segments"":[{""start"":1773517283969,""stop"":1773517294175}]}",,0,17.733,"{""version"":1,""segments"":[{""start"":1773517314224,""stop"":1773517331957}]}",6.801,"{""version"":1,""segments"":[{""start"":1773517351752,""stop"":1773517358553}]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],duirng there auto they had a score time of 7.09 seconds and a ferry time of 10.2 seconds ,during there active shift they had a score time of 17.7 seconds and a ferry time of 6.8 seconds ,duirng there inactive shift they were ferrying from the non allaince side ,duirng the endgame they did not climb and they had very accurate shooting 
2026orwil_qm10,qm,1,10,frc9438,frc3024,frc9438,frc5975,frc7034,frc2990,frc3636,red,HD,middle3,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",Other,103.3999999999984,1.611,"{""version"":1,""segments"":[{""start"":1773517345534,""stop"":1773517347145}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],no auto,were broken for most of the match,brokem,no climb
2026orwil_qm10,qm,1,10,frc5975,frc3024,frc9438,frc5975,frc7034,frc2990,frc3636,red,np,outpostWall5,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,5.778,"{""version"":1,""segments"":[{""start"":1773517293178,""stop"":1773517293705},{""start"":1773517298023,""stop"":1773517298620},{""start"":1773517298993,""stop"":1773517299629},{""start"":1773517300390,""stop"":1773517300917},{""start"":1773517302610,""stop"":1773517302721},{""start"":1773517303402,""stop"":1773517303493},{""start"":1773517303690,""stop"":1773517303742},{""start"":1773517324933,""stop"":1773517326500},{""start"":1773517358192,""stop"":1773517359165},{""start"":1773517363096,""stop"":1773517363435},{""start"":1773517363968,""stop"":1773517364326}]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,[],did nothing,shot a lot and scored some but their accuracy was definitely a bit shaky,swiped a large amount of fuel into their zone,kept shooting
2026orwil_qm10,qm,1,10,frc7034,frc3024,frc9438,frc5975,frc7034,frc2990,frc3636,blue,AH,depotWall1,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,29.515,"{""version"":1,""segments"":[{""start"":1773517279377,""stop"":1773517280077},{""start"":1773517286843,""stop"":1773517291214},{""start"":1773517296036,""stop"":1773517299122},{""start"":1773517333571,""stop"":1773517337876},{""start"":1773517344009,""stop"":1773517345945},{""start"":1773517348516,""stop"":1773517351033},{""start"":1773517354042,""stop"":1773517354610},{""start"":1773517357360,""stop"":1773517357800},{""start"":1773517370289,""stop"":1773517370468},{""start"":1773517382095,""stop"":1773517382498},{""start"":1773517384698,""stop"":1773517388376},{""start"":1773517395008,""stop"":1773517399581},{""start"":1773517404886,""stop"":1773517407645}]}",8.829,"{""version"":1,""segments"":[{""start"":1773517309896,""stop"":1773517313173},{""start"":1773517316847,""stop"":1773517320061},{""start"":1773517370706,""stop"":1773517373044}]}",0.617,"{""version"":1,""segments"":[{""start"":1773517327097,""stop"":1773517327714}]}",0,0,0,[],"A-stopped, motionless.","Shooting into the hub with fair accuracy, except for the first few fuel.",Ferrying from neutral zone.,Mainly focused on shooting into the hub as they had no climber.
